name,area,location,star_rating,price_range_per_night_usd,budget_category,description
Crowne Plaza West Cairo Arkan,6th October,6th October City,5,80-140,Upscale,West Cairo business hotel
Dahab Hostel Cairo,Downtown,26 Mahmoud Bassiouny,2,13-25,Budget,Popular budget hostel
Down Town Hotel Cairo,Downtown,Downtown,2,15-25,Budget,Downtown Cairo
Downtown Inn,Downtown,Downtown,2,12-22,Budget,Downtown inn
Egyptian Night Hostel,Downtown,Downtown,2,10-20,Budget,Hostel 5 min from museum
Family Palace Hostel,Downtown,Downtown,2,10-20,Budget,Hostel central Cairo
Freedom Hostel,Downtown,Downtown,2,10-20,Budget,Hostel near Talat Harb
Garden View Hostel,Downtown,Downtown,2,12-22,Budget,Near Ramses Station
Gewan Hotel Cairo,Nasr City,Omar Ibn El Khattab Street Nasr City,5,70-120,Upscale,Nasr City full-service hotel
Golden Hotel Downtown Tahrir,Downtown,Tahrir Square,2,20-35,Budget,Tahrir budget option
Golden Palace Hotel,Downtown,Downtown,2,15-25,Budget,Downtown budget
Grand Agor Hotel,Downtown,Downtown,3,30-55,Budget,Downtown option
Great Alexander Hostel,Downtown,Downtown,2,10-20,Budget,Hostel downtown
Happy City Hotel Downtown,Downtown,Downtown,3,25-45,Budget,Near museum and metro
Hilton Cairo World Trade Centre Residence,Garden City,Nile Corniche,4,80-130,Upscale,Residence at WTC
Hostel Vienna,Downtown,Downtown,2,10-20,Budget,Hostel 5 min from museum
Hotel Royal City Center Cairo,Downtown,Downtown,2,15-25,Budget,City center option
Ismailia House Inn,Downtown,Ismailia,2,15-25,Budget,Downtown inn
Jamaica Hostel,Downtown,Downtown,2,10-20,Budget,Hostel 10 min from museum
Le Riad Tell a Story Boutique Hotel,Islamic Cairo,El Darb El Asfar,4,60-100,Mid-range,Theme boutique near Bab Zuweila
Lady Daiana Nile Cruise Hotel,Maadi,Maadi (Nile Cruise),3,40-70,Mid-range,Cruise hotel on Nile
Landmark Hotel New Cairo,New Cairo,New Cairo,4,55-90,Mid-range,New Cairo landmark
Luna & Bella Luna Hostel,Downtown,Downtown,2,10-20,Budget,Hostel near museum
Maadi Int. Center & Apartment,Maadi,Maadi,3,40-70,Mid-range,Self-catering in Maadi
Moevenpick Hotel Cairo Pyramids,Giza,Giza Pyramids Area,4,60-100,Mid-range,Garden setting pyramid views
Mohandeseen Small Apartment,Mohandiseen,Mohandiseen,2,20-35,Budget,Budget small apartment
New Abdeen Palace Hostel,Downtown,Downtown,2,10-20,Budget,Hostel near Abdeen
New City Hotel,Downtown,5 Talaat Harb,2,19-30,Budget,Ultra-budget near Tahrir
New President Hotel Zamalek,Zamalek,Zamalek,3,45-70,Mid-range,Nile-side in Zamalek
NewCity Suites & Apartments,New Cairo,New Cairo,3,35-60,Budget,New Cairo suites
Nile Boutique Hotel,Downtown,Downtown,3,35-60,Budget,Nile area boutique
Panorama Ramsis Hotel & Cafe,Downtown,Ramsis Square,2,20-40,Budget,Near train station
Ramses Palace Hostel,Downtown,Downtown,2,10-20,Budget,Hostel Ramses area
Royal Crown Hotel Giza Pyramids View,Giza,Giza Pyramids Area,3,25-45,Budget,Pyramid view budget
Sama Hotel Sherif Basha,Downtown,Sherif Basha Street,3,25-45,Budget,Downtown budget
Sphinx Comfort,Giza,Giza,3,25-45,Budget,Near Sphinx
Spire West Hotel,Giza,Giza District,3,30-55,Budget,Giza district hotel
Sultan Pyramids Boutique Hotel View,Giza,Giza,3,30-55,Budget,Pyramid boutique
Triple garden view hotel,Downtown,Downtown,3,30-50,Budget,Near Tahrir Square
Turquoise Pyramids palace,Giza,Giza,3,25-45,Budget,Giza pyramid palace
Viaje Hotel Downtown Cairo,Downtown,Mohammed Farid Street,3,60-100,Mid-range,Stylish boutique downtown hotel
White Swan Hotel Cairo,Downtown,Downtown,3,35-60,Budget,Downtown central
Garden City Plaza Hotel,Garden City,Garden City,3,24-50,Budget,Budget-friendly in upscale Garden City
Regency Inn,Downtown,Talaat Harb Street,3,25-55,Budget,Value stay in central downtown
Royal Inn Residence New Cairo,New Cairo,New Cairo,3,56-90,Mid-range,Serviced apartments in New Cairo
Sayed Effendi Boutique Hotel,Downtown,Al Fawalah,3,50-90,Mid-range,Boutique hotel in historic downtown
Gamaleya Boutique Hotel,Islamic Cairo,14 Amir Al Gyosh Al Goani,3,80-130,Mid-range,Boutique hotel in historic Islamic Cairo
Holy Sheet Plus Boutique Hotel,Downtown,Downtown Cairo,3,50-80,Mid-range,Boutique apartment-style accommodation
Aura Garden City Hotel,Garden City,Garden City,3,30-55,Budget,Budget-friendly in Garden City
Calma Haven,New Cairo,New Cairo,4,70-120,Mid-range,Peaceful retreat in New Cairo
Eileen Hotel Cairo,Downtown,13 Meret Basha Street,3,51-80,Mid-range,Decent mid-range downtown hotel
Bostan Hotel,Downtown,Bostan Ibn Al Quraish El Tahrir Square,2,15-25,Budget,Budget near Tahrir Square
Caesars Palace Hotel,Downtown,Downtown,3,30-55,Budget,With nightclub and bar
Cairo Kingdom Hostel,Downtown,Downtown,2,10-20,Budget,Rooftop terrace hostel
Dinas Hostel Cairo,Downtown,Downtown,2,10-20,Budget,Simply furnished hostel
Furnished Apartment Heliopolis Roxy,Heliopolis,Roxy Heliopolis,3,30-55,Budget,Self-catering Heliopolis
Furnished Apartment Nasr City,Nasr City,Ahmed Kassem Gouda Street,3,30-55,Budget,Furnished Nasr City
Gawharet Al-Ahram Hotel,Giza,Avenue of the Pyramids,3,25-45,Budget,Near pyramids
Grand Season Hotel Downtwon,Downtown,Downtown,2,20-35,Budget,Downtown season hotel
Horus Eye Hostel,Downtown,Downtown,2,10-20,Budget,Hostel 10 min from museum
Hotel Royal Marshal Cairo,Downtown,Downtown,3,30-55,Budget,With indoor pool
Jewel Al Nasr Hotel & Apartments,Nasr City,Nasr City,4,50-80,Mid-range,Jewel brand Nasr City
Jewel Plaza And Aqua Park,Heliopolis,Heliopolis,5,80-130,Upscale,Plaza with aqua park
Kemet Hotel Tahrir Square,Downtown,Tahrir Square,3,30-50,Budget,Tahrir Square hotel
Kove Hotel by The Pyramids,Giza,Giza Pyramids,3,35-60,Budget,Near pyramids
La Mira Pyramids View,Giza,Giza,3,25-45,Budget,Pyramid view hotel
La Perle du Nil Boutique Hotel,Giza,Giza,3,35-60,Budget,Nile boutique near Giza
Lava pyramids hotel,Giza,Giza,3,25-45,Budget,Giza budget
Locanda pyramids view,Giza,Giza,3,25-45,Budget,Locanda near pyramids
Merak Pyramids Hotel,Giza,Giza,3,30-50,Budget,Pyramid merak hotel
Museum And Nile View Hotel,Downtown,Downtown,3,35-55,Budget,Museum and Nile views
Muse Pyramids Lodge,Giza,Giza,3,30-50,Budget,Lodge near pyramids
Nefertari Pyramids View Inn,Giza,Giza,2,15-25,Budget,Nefertari view inn
New Museum Guest House,Giza,Giza,2,15-25,Budget,Guest house near museum
Night Pyramids Inn Hotel,Giza,Giza,2,15-25,Budget,Night inn near pyramids
North Pyramids Hotel,Giza,Giza,2,15-25,Budget,North area pyramid hotel
Nut Pyramids View,Giza,Giza,2,15-25,Budget,Pyramid view guest house
Pyramids Gate Hotel,Giza,Giza,3,25-45,Budget,Gate hotel near pyramids
Pyramids On The Spot View,Giza,Giza,2,15-25,Budget,On the spot pyramid view
Pyramids Skyline Hotel Cairo,Giza,Giza,3,25-45,Budget,Skyline pyramid view
Pyramids Spiritual Gate,Giza,Giza,2,15-25,Budget,Spiritual gate near pyramids
Pyramids Sunshine Hotel,Giza,Giza,3,25-45,Budget,Sunshine pyramid hotel
Pyramids Tower Inn,Giza,Giza,2,15-25,Budget,Tower inn near pyramids
Pyramids Yard Hotel,Giza,Giza,3,25-45,Budget,Yard near pyramids
Queen Cleopatra Boutique Hotel,Giza,Giza,3,35-60,Budget,Cleopatra boutique
Sami pyramids Inn,Giza,Giza,2,15-25,Budget,Sami inn near pyramids
Sol Pyramid Inn,Giza,Giza,2,15-25,Budget,Sol inn near pyramids
The Palace Pyramids inn,Giza,Giza,2,15-25,Budget,Palace pyramids inn
Three Giza pyramids inn,Giza,Giza,2,15-25,Budget,Three pyramids inn
White Crown Pyramids Hotel,Giza,Giza,3,25-45,Budget,Crown pyramid hotel
White House Pyramids view,Giza,Giza,2,15-25,Budget,White house pyramid view
Zein Pyramids View Guest House,Giza,Giza,2,15-25,Budget,Zein guest house near pyramids
Mazar Pyramids Hotel,Giza,Giza,3,25-45,Budget,Mazar near pyramids
Eyes Of Egypt Pyramids View Boutique Hotel,Giza,Giza,3,30-55,Budget,Eyes of Egypt boutique
Pyraking Pyramids View Inn,Giza,Giza,2,15-25,Budget,Pyraking view inn
Sahary Pyramids View Hotel,Giza,Giza,3,25-45,Budget,Sahary pyramid view
Taj pyramids view inn,Giza,Giza,2,15-25,Budget,Taj view inn
Turquoise Pyramids & Grand Egyptian museum view,Giza,Giza,3,30-55,Budget,Turquoise museum view
Jasmine Pyramids Hotel,Giza,Giza,3,25-45,Budget,Jasmine near pyramids
Great Pyramid Inn,Giza,Giza,3,30-55,Budget,Great pyramid inn
Royal Great Pyramid INN,Giza,Giza,3,25-45,Budget,Royal great pyramid inn
Boudl Grand Pyramids,Giza,Giza,3,30-55,Budget,Boudl pyramid brand
Cairo Crystal Hotel,Heliopolis,Heliopolis,3,35-60,Budget,Crystal brand Heliopolis
Nilotique,Downtown,Downtown,4,50-80,Mid-range,Nilotique downtown
YOU Nile View Hotel,Downtown,Downtown,3,35-60,Budget,Nile view hotel downtown
Grand Talat Harb Plaza Hotel,Downtown,Talaat Harb,3,30-55,Budget,Talat Harb plaza
Horus Cairo Hotel Downtown,Downtown,Downtown,3,30-50,Budget,Downtown Horus hotel
Cairo Crown Talaat Harb,Downtown,Talaat Harb,3,30-55,Budget,Crown hotel at Talaat Harb
Garden City Hotel Nile House,Garden City,Garden City,3,35-55,Budget,Nile house in Garden City
Elysees Hotel I Tahrir Square,Downtown,Tahrir Square,3,30-55,Budget,Elysees near Tahrir
Karma Cairo Hotel,Downtown,Downtown,3,35-55,Budget,Karma downtown
Golden Carven Hotel Cairo,Heliopolis,Heliopolis,3,30-55,Budget,Golden Carven Heliopolis
Arabella Residence Zamalek,Zamalek,Zamalek,3,45-70,Mid-range,Zamalek residence
Baron Hotel Heliopolis,Heliopolis,Heliopolis,3,40-65,Mid-range,Near Baron Empain Palace
Beirut Hotel Downtown,Downtown,Downtown,3,30-55,Budget,Downtown Beirut hotel
Giza Pyramids View Inn,Giza,Giza Pyramids Area,2,18-30,Budget,Budget inn with pyramid views
Golden Hotel Downtown,Downtown,Tahrir Square,2,20-35,Budget,Budget near Tahrir
Hotel Flamenco Cairo,Giza,Giza,4,50-80,Mid-range,Flamenco in Giza
Tolip El Narges Hotel,New Cairo,New Cairo,5,80-130,Upscale,Narges in New Cairo
Swiss Inn Nile Hotel,Dokki,Dokki,4,50-80,Mid-range,Swiss inn on Nile
Villa Belle Epoque Heliopolis,Heliopolis,Heliopolis,4,60-100,Mid-range,Villa boutique
Pyramids Park Resort,Heliopolis,Heliopolis,5,80-140,Upscale,Park resort Heliopolis
Baron Hotel Cairo Heliopolis,Heliopolis,Heliopolis,4,50-80,Mid-range,Baron palace area
Jewel Zamalek Hotel,Zamalek,Zamalek,4,60-100,Mid-range,Jewel in Zamalek
Jewel Agouza Hotel,Agouza,Agouza,4,50-80,Mid-range,Jewel in Agouza
Cairo Taj Hotels & Suites Dokki,Dokki,Dokki,4,50-80,Mid-range,Taj in Dokki
Golden Inn Hotel Cairo,Downtown,Downtown,3,25-45,Budget,Golden inn downtown
Stay Inn Cairo Hotel,Downtown,Downtown,3,30-55,Budget,Stay inn in Cairo
Jewel Green Mountain Hotel,New Cairo,New Cairo,4,60-100,Mid-range,Green mountain jewel
Azal Pyramids Hotel,Giza,Giza,4,50-80,Mid-range,Azal near pyramids
Jewel Plaza Hotel,Heliopolis,Heliopolis,4,60-100,Mid-range,Jewel plaza Heliopolis
Triumph Plaza Hotel Heliopolis,Heliopolis,Heliopolis,4,60-90,Mid-range,Triumph in Heliopolis
Steigenberger Pyramids Cairo,Giza,229 Al Haram Street,5,80-150,Upscale,Pyramid view steigenberger
Hilton Cairo Grand Nile Residence,Garden City,Garden City,5,100-180,Upscale,Nile residence
Giza Pyramids View Inn,Giza,Giza Pyramids Area,2,18-30,Budget,View inn near Sphinx
Citadel Hotel,Downtown,Islamic Cairo,3,30-50,Budget,Near Saladin Citadel
Horizon Pyramids,Giza,Giza,3,35-55,Budget,Pool pyramid hotel
Novotel Cairo El Borg,Downtown,Cairo,4,50-90,Mid-range,El Borg near centre
Jaz Pyramids,Giza,Giza,4,60-100,Mid-range,Jaz brand pyramids
Holiday Inn Cairo Citystars,Nasr City,Citystars,5,100-170,Upscale,Citystars holiday inn
Concorde El Salam,Heliopolis,Heliopolis,5,80-140,Upscale,Salam Heliopolis
Gewan Hotel,Nasr City,Nasr City,5,70-120,Upscale,Gewan Nasr City
The President Hotel,N/A,Zamalek,3,45-70,Mid-range,President Zamalek
Maadi Hotel Residence,Maadi,Maadi,3,40-65,Mid-range,Maadi residence
Moevenpick Media City,Mohandiseen,Media City,4,50-80,Mid-range,Moevenpick media
Pyramisa Residence,Dokki,Dokki,3,40-65,Mid-range,Pyramisa residence
Sun City Hotel by Gabriel,New Cairo,New Cairo,5,90-150,Upscale,Gabriel new cairo
Le Meridien Heliopolis Hotel,Heliopolis,Heliopolis,5,80-140,Upscale,Meridien Heliopolis
Cairo Palace Hotel,Downtown,Downtown,3,35-60,Budget,Palace downtown
Grand Season Hotel,Downtown,Downtown,3,30-55,Budget,Grand season downtown
Indiana Hotel Cairo,Giza,Giza,3,35-55,Budget,Indiana in Giza
Pharaoh Pyramids Hotel,Giza,Giza,3,30-50,Budget,Pharaoh pyramids
Belle Epoque Villa,Heliopolis,Heliopolis,4,60-100,Mid-range,Belle epoque villa
Baron Empain Nearby Hotels,Heliopolis,Heliopolis,3,40-65,Mid-range,Near Baron Empain
Renaissance Mirage City,New Cairo,Mirage City,5,100-170,Upscale,Renaissance mirage
Shepheard Cairo,Islamic Cairo,Islamic Cairo,4,60-100,Mid-range,Shepheard historic
Le Meridien Pyramids Spa,Giza,Giza,5,80-160,Upscale,Pyramid spa hotel
Sphinx Guest,Giza,Giza,2,15-25,Budget,Sphinx guest
Lotus Hotel Downtown,Downtown,Downtown,3,40-65,Mid-range,Lotus downtown
Hor Moheb,Giza,Giza,3,30-50,Budget,Hor Moheb Giza
Happy City,Downtown,Downtown,3,25-45,Budget,Happy city downtown
Marriott Cairo,Giza,Zamalek,5,130-220,Luxury,Marriott zamalek
Eternal Pyramids VIEW INN,Giza,Giza,2,15-25,Budget,Eternal pyramids view
Nova Pyramids view INN,Giza,Giza,2,15-25,Budget,Nova pyramids view
Roone pyramids Gust house,Giza,Giza,2,10-20,Budget,Roone guest house
Life Pyramids Inn,Giza,Giza,2,15-25,Budget,Life pyramids inn
Bedouin Camp pyramids view INN,Giza,Giza,2,10-20,Budget,Bedouin camp view
Pyramids Plateau Hotel,Giza,Giza,3,25-45,Budget,Plateau near pyramids
Kemet Boutique Hotel,Giza,Giza,3,30-55,Budget,Kemet boutique
Eagles Pyramids View,Giza,Giza,2,15-25,Budget,Eagles view
Cacillion Pyramids View,Giza,Giza,3,25-45,Budget,Cacillion view
Esca Pyramids View,Giza,Giza,3,25-45,Budget,Esca view inn
Middle east pyramids veiw &jacuzzi,Giza,Giza,3,30-55,Budget,Jacuzzi pyramid view
City plaza pyramids view,Giza,Giza,3,25-45,Budget,City plaza view
Pyramids Crypt Hotel,Giza,Giza,4,50-80,Mid-range,Crypt near pyramids
Queen Pyramids View Inn,Giza,Giza,2,15-25,Budget,Queen view inn
Khan Duidar Inn Pyramids View Rooftop,Giza,Giza,3,25-45,Budget,Khan Duidar view
Chelay studios,Giza,Giza,2,15-25,Budget,Chelay studios
Sidi Hamad Pyramids View,Giza,Giza,2,15-25,Budget,Sidi hamad view
Alba pyramids view,Giza,Giza,2,15-25,Budget,Alba view
Le Pacha BoutiQue Hotel,Giza,Giza,3,35-60,Budget,Le pacha boutique
The Gate Hotel Front Pyramids & Sphinx View,Giza,Giza,3,30-55,Budget,Gate hotel view
SEQUOIA Pyramids View,Giza,Giza,3,30-55,Budget,Sequoia view
Dream Inn Pyramids View,Giza,Giza,2,15-25,Budget,Dream inn view
Gold's Pyramids Hotel,Giza,Giza,3,25-45,Budget,Golds pyramid hotel
DouDou Pyramids View Hotel,Giza,Giza,2,15-25,Budget,Doudou view
Aphrodite Boutique Hotel,Giza,Giza,3,35-60,Budget,Aphrodite boutique
Elegance Grand City Hotel,Giza,Giza,3,25-45,Budget,Elegance grand
Merak Pyramids,Giza,Giza,3,30-50,Budget,Merak pyramids
West Pyramids Hotel,Giza,Giza,3,25-45,Budget,West pyramids
Kemet Pyramids View Hotel,Giza,Giza,3,25-45,Budget,Kemet pyramids view
Gaia Pyramids Hotel,Giza,Giza,3,25-45,Budget,Gaia pyramids
Sultan Pyramids Boutique,Giza,Giza,3,30-55,Budget,Sultan boutique
AKHNATON Pyramids View Hotel,Giza,Giza,3,30-55,Budget,Akhnaton view
Al Farida Boutique Pyramids,Giza,Giza,3,30-55,Budget,Al farida boutique
Sami pyramids View,Giza,Giza,2,15-25,Budget,Sami pyramids view
Eyad pyramids view 2,Giza,Giza,2,15-25,Budget,Eyad view
Tourist Cairo Hotels Downtown,Downtown,Downtown,2,20-35,Budget,Tourist downtown
Abdeen palace view hostel,Downtown,Downtown,2,10-20,Budget,Abdeen palace hostel
Lotus Al-Tahrir hotel,Downtown,Tahrir,3,30-55,Budget,Lotus at tahrir
PANORAMA view pyramids,Giza,Giza,3,25-45,Budget,Panorama pyramids
Calmaa Kairo,Downtown,Downtown,3,35-60,Budget,Calmaa kairo
Giza Pyramids Osman Guest House,Giza,Giza,2,15-25,Budget,Osman guest house
Golden Jazal Pyramids View,Giza,Giza,2,15-25,Budget,Golden jazal view
Glow Pyramids View Hotel,Giza,Giza,3,25-45,Budget,Glow pyramids view
Sone Al Boos,Downtown,Downtown,2,15-25,Budget,Sone al boos
Miramar Evergreen I Tahrir Sqaure,Downtown,Tahrir,3,30-55,Budget,Miramar tahrir
Downtown Cairo Hotel,Downtown,Downtown,2,20-35,Budget,Downtown cairo
Town Hotel Cairo,Downtown,Downtown,2,15-25,Budget,Town hotel cairo
El Farida Hotel,Downtown,Downtown,2,20-35,Budget,El farida downtown
Cairo Dream Boutique Hotel,Downtown,Downtown,3,35-60,Budget,Cairo dream boutique
Amin Hotel,Downtown,Downtown,2,15-25,Budget,Amin downtown
Royal Grand Hotel Cairo,Downtown,Downtown,3,30-55,Budget,Royal grand
New Lotus I Talaat Harb,Downtown,Talaat Harb,3,30-50,Budget,New lotus talaat harb
Zuri Pyramids View Hotel,Giza,Giza,3,25-45,Budget,Zuri pyramids
Loaloat maadi Hostel,Maadi,Cornich Elnile,2,15-25,Budget,Loaloat maadi hostel
Jewel Maadi Cabins and Club,Maadi,Maadi,3,40-65,Mid-range,Jewel maadi cabins
Aton Hotel,Giza,Giza,4,50-80,Mid-range,Aton hotel giza
Cairo Plaza Imperial Hotel,Downtown,Downtown,3,35-60,Budget,Cairo plaza imperial
White Crown Pyramids,Giza,Giza,3,25-45,Budget,White crown
Mar Charbel Hotel Cairo,Downtown,Downtown,3,35-55,Budget,Mar charbel
The Central House Hostel,Downtown,Downtown,2,10-20,Budget,Central house hostel
GAS Cairo Hotel Downtown,Downtown,Downtown,3,30-55,Budget,GAS hotel downtown
M-Residence By Brassbell,Zamalek,Zamalek,3,45-75,Mid-range,Brassbell zamalek
Brassbell L Dt L Hannaux L Tahrir Sq,Downtown,Tahrir,3,35-60,Budget,Brassbell tahrir
Royal Maxim Palace Kempinski,New Capital,New Capital,5,180-300,Luxury,Royal maxim palace
Tolip Gardens,New Cairo,New Cairo,5,70-120,Mid-range,Tolip gardens
Sun City Hotel Gabriel,New Cairo,New Cairo,5,90-150,Upscale,Sun city gabriel
Le Meridien Heliopolis Hotel,Heliopolis,Heliopolis,5,80-140,Upscale,Meridien heliopolis
Holiday Inn Cairo Maadi,Maadi,Maadi,4,70-120,Mid-range,Maadi holiday inn
Odeon Palace,Downtown,Downtown,3,35-55,Budget,Odeon palace downtown
Grand Nile Tower,Roda Island,Roda Island,5,100-200,Upscale,Grand nile tower roda
Ismailia House,Downtown,Ismailia,2,15-25,Budget,Ismailia house
Amoun Hotel Mohandiseen,Mohandiseen,Gameat Al Dewal,3,35-55,Budget,Amoun mohandiseen
St. Regis New Capital,New Capital,New Administrative Capital,5,180-350,Luxury,St regis new capital
The Westin Cairo Golf Resort,Katameya,Katameya Dunes,5,150-280,Luxury,Westin golf resort
Le Passage Cairo Airport,Heliopolis,Airport Road,5,77-182,Upscale,Le passage airport
Cairo Marriott Zamalek,Zamalek,16 Saray El Gezira,5,130-220,Luxury,Marriott zamalek palace
Sofitel Gezirah,Zamalek,3 El Thawra Council,5,160-250,Luxury,Sofitel gezirah island
Four Seasons Nile Plaza,Garden City,1089 Corniche El Nil,5,350-600,Luxury,Four seasons nile plaza
Four Seasons First Residence,Giza,35 Giza Street,5,350-645,Luxury,Four seasons giza
Fairmont Nile City,Boulaq,Nile City Towers,5,124-200,Luxury,Fairmont nile city
Kempinski Nile Garden City,Garden City,12 Ahmed Ragheb,5,180-260,Luxury,Kempinski garden city
Conrad Cairo,Downtown,Downtown,5,100-200,Upscale,Conrad downtown
InterContinental Citystars,Nasr City,Citystars,5,110-200,Luxury,Intercon citystars
InterContinental Semiramis,Garden City,Corniche El Nil,5,110-180,Luxury,Intercon semiramis
JW Marriott Mirage City,New Cairo,Mirage City,5,150-250,Luxury,JW marriott mirage
Hilton Heliopolis,Heliopolis,El-Orouba,5,100-180,Upscale,Hilton heliopolis
Sheraton Cairo,Dokki,Charles de Gaulle,5,90-160,Upscale,Sheraton dokki
Sonesta Cairo,Nasr City,El Tayaran,5,80-150,Upscale,Sonesta nasr city
Al Masa Hotel,Nasr City,Nasr City,5,70-120,Upscale,Al masa nasr city
Triumph Luxury,Nasr City,Nasr City,5,120-200,Upscale,Triumph nasr city
Dusit Thani New Cairo,New Cairo,El Tesseen Street,5,120-200,Luxury,Dusit thani new cairo
Rehana Plaza,New Cairo,New Cairo,5,90-150,Upscale,Rehana plaza new cairo
Renaissance Mirage,New Cairo,Mirage City,5,100-170,Upscale,Renaissance mirage
The Guard Hotel,New Cairo,New Cairo,5,100-160,Upscale,The guard new cairo
Safir Hotel,Dokki,El Missaha Square,5,73-130,Upscale,Safir dokki
Steigenberger El Tahrir,Downtown,2 Kasr Al Nile,4,60-100,Mid-range,Steigenberger tahrir
Radisson Blu Heliopolis,Heliopolis,Abdel Hamid Badawy,4,72-130,Mid-range,Radisson heliopolis
Novotel Cairo Airport,Heliopolis,Airport Road,4,42-80,Mid-range,Novotel airport
Baron Hotel,Heliopolis,Heliopolis,4,50-80,Mid-range,Baron heliopolis
Hilton Zamalek Residence,Zamalek,Zamalek,4,80-130,Upscale,Hilton zamalek
Cairo World Trade Center Hotel,Garden City,Nile Corniche,4,80-130,Upscale,WTC hotel
Golden Park Hotel,Heliopolis,Heliopolis,3,35-60,Budget,Golden park heliopolis
Atlas International,Downtown,26 Mahmoud Bassiouny,3,22-50,Budget,Atlas downtown
Cleopatra Hotel,Downtown,43 Sherief Street,3,57-85,Mid-range,Cleopatra downtown
Cosmopolitan Cairo,Downtown,Downtown,3,40-70,Mid-range,Cosmopolitan downtown
Lotus Hotel Cairo,Downtown,Sabry Abu Alam,3,40-65,Mid-range,Lotus talaat harb
Cairo Inn Downtown,Downtown,6 Talaat Harb,3,41-70,Mid-range,Cairo inn talaat harb
President Hotel Zamalek,Zamalek,22 Taha Hussein,3,45-70,Mid-range,President zamalek
The Square Boutique,Downtown,Talaat Harb Square,3,50-85,Mid-range,Square boutique
Paradise Boutique,Downtown,18B 26th of July,3,20-50,Budget,Paradise boutique downtown
Tahrir Plaza Suites,Downtown,19 Meret Basha,3,20-50,Budget,Tahrir plaza suites
Grand City Hotel Downtown,Downtown,Bostan Ibn Al Quraish,3,17-35,Budget,Grand city tahrir
